id_agricultor,id_cultura,area_plantada,quantidade_produzida,data_plantio
259,1,0.5,13,07/04/2010
259,1,0.48,110,25/02/2011
259,5,0.48,60,25/02/2011
259,3,0.5,7.8,07/04/2010
259,2,0.48,25,25/02/2011
259,15,0.5,4.9,07/04/2010
259,15,0.48,41.8,25/02/2011
259,6,0.5,6,07/04/2010
261,15,0.38,34.2,22/03/2011
261,1,0.38,90,22/03/2011
261,11,0.38,60,22/03/2011
261,6,0.38,15,22/03/2011
261,5,0.38,30,22/03/2011
262,2,0.37,15,03/02/2011
262,15,0.37,45.6,03/02/2011
262,6,0.37,10,03/02/2011
262,10,0.37,50,03/02/2011
262,5,0.37,75,03/02/2011
262,11,0.37,180,03/02/2011
262,1,0.37,120,03/02/2011
263,11,0.49,270,19/02/2011
263,1,0.49,80,19/02/2011
263,5,0.49,120,19/02/2011
263,15,0.49,30.4,19/02/2011
266,11,0.65,150,10/02/2011
266,5,0.65,80,10/02/2011
266,10,0.65,120,10/02/2011
266,15,0.65,76,10/02/2011
266,1,0.65,200,10/02/2011
270,1,0.37,210,21/02/2011
270,15,0.37,79.8,21/02/2011
270,5,0.37,60,21/02/2011
270,11,0.37,200,21/02/2011
271,2,0.75,8,11/04/2010
271,11,1.2,1200,03/02/2011
271,15,1.2,173.28,03/02/2011
271,8,1.2,1000,03/02/2011
271,15,0.75,63.8,11/04/2010
271,1,0.75,168,11/04/2010
271,10,1.2,100,03/02/2011
271,8,0.75,8,11/04/2010
271,3,0.75,100.8,11/04/2010
271,5,0.75,40,11/04/2010
271,1,1.2,456,03/02/2011
271,2,1.2,25,03/02/2011
271,11,0.75,180,11/04/2010
271,6,0.75,15,11/04/2010
271,10,0.75,50,11/04/2010
271,5,1.2,360,03/02/2011
271,6,1.2,20,03/02/2011
272,1,0.37,150,21/02/2011
272,11,0.37,240,21/02/2011
272,15,0.37,57,21/02/2011
272,5,0.37,240,21/02/2011
273,15,0.97,190,17/02/2011
273,11,0.97,150,17/02/2011
273,1,0.97,500,17/02/2011
273,5,0.97,90,17/02/2011
275,11,0.41,280,17/02/2011
275,5,0.41,190,17/02/2011
275,1,0.41,140,17/02/2011
275,15,0.41,53.2,17/02/2011
277,5,0.9,20,02/05/2010
277,11,0.9,120,02/05/2010
277,3,0.9,60.6,02/05/2010
277,15,0.9,38.4,02/05/2010
277,1,0.9,101,02/05/2010
278,11,0.5,180,02/03/2011
278,15,0.5,60.8,02/03/2011
278,16,0.5,10,02/03/2011
278,5,0.5,60,02/03/2011
278,10,0.5,40,02/03/2011
278,1,0.5,160,02/03/2011
278,6,0.5,30,02/03/2011
278,2,0.5,20,02/03/2011
